,tag,bairro,count,REG_ADM,area,density
134,amenity_pharmacy,Quintas,1,Oeste,2.027817307910962,0.4931410714854735
135,amenity_pharmacy,Redinha,0,Norte,7.170319431390413,0.0
136,amenity_pharmacy,Ribeira,1,Leste,0.7701308835145091,1.2984805848019991
137,amenity_pharmacy,Rocas,0,Leste,0.5386164473659117,0.0
138,amenity_pharmacy,Santos Reis,0,Leste,1.8120202788320696,0.0
139,amenity_pharmacy,Tirol,5,Leste,2.9377194954885093,1.702000482918318
140,amenity_place_of_worship,Alecrim,10,Leste,2.8126630564480646,3.555349431946666
141,amenity_place_of_worship,Areia Preta,1,Leste,0.2624931585903798,3.809623097874709
142,amenity_place_of_worship,Barro Vermelho,0,Leste,0.773459952408173,0.0
143,amenity_place_of_worship,Bom Pastor,4,Oeste,2.8237542657802215,1.4165538582709407
144,amenity_place_of_worship,Candelária,4,Sul,6.213090490268191,0.6438019865098309
145,amenity_place_of_worship,Capim Macio,7,Sul,3.536322749587128,1.9794573334171102
146,amenity_place_of_worship,Cidade Alta,4,Leste,0.9498325820890022,4.211268465020068
147,amenity_place_of_worship,Cidade Nova,1,Oeste,2.138739680894446,0.4675650846772471
148,amenity_place_of_worship,Cidade da Esperança,5,Oeste,1.4921251057655043,3.3509254557008825
149,amenity_place_of_worship,Dix-Sept Rosado,0,Oeste,0.8945426611849765,0.0
150,amenity_place_of_worship,Felipe Camarão,1,Oeste,5.422818204774316,0.18440596056116867
151,amenity_place_of_worship,Guarapes,0,Oeste,6.981796408221646,0.0
152,amenity_place_of_worship,Igapó,0,Norte,1.7961583449065368,0.0
153,amenity_place_of_worship,Lagoa Azul,4,Norte,9.523752054212096,0.42000253442454005
154,amenity_place_of_worship,Lagoa Nova,11,Sul,6.264427860715066,1.7559464718210327
155,amenity_place_of_worship,Lagoa Seca,1,Leste,0.49847829810883376,2.006105388727812
156,amenity_place_of_worship,Mãe Luiza,0,Leste,0.7808093519276514,0.0
157,amenity_place_of_worship,N. S. Apresentação,0,Norte,8.359996458807668,0.0
158,amenity_place_of_worship,N. Sra. do Nazaré,3,Oeste,1.174982498465845,2.5532295195179926
159,amenity_place_of_worship,Neópolis,4,Sul,2.6287055158952892,1.5216615082262925
160,amenity_place_of_worship,Nova Descoberta,0,Sul,1.2959380067857247,0.0
161,amenity_place_of_worship,Pajuçara,6,Norte,6.250138148913146,0.9599787807959664
162,amenity_place_of_worship,Parque das Dunas,0,Sul,9.824446055169469,0.0
163,amenity_place_of_worship,Petropólis,0,Leste,0.6399234277218987,0.0
164,amenity_place_of_worship,Pitimbu,27,Sul,6.075760421672488,4.443888192774996
165,amenity_place_of_worship,Planalto,0,Oeste,3.7847053271180475,0.0
166,amenity_place_of_worship,Ponta Negra,3,Sul,11.27862552667373,0.2659898577982803
167,amenity_place_of_worship,Potengi,3,Norte,6.52548282021391,0.4597360965700401
168,amenity_place_of_worship,Praia do Meio,0,Leste,0.39912132497084085,0.0
169,amenity_place_of_worship,Quintas,2,Oeste,2.027817307910962,0.986282142970947
170,amenity_place_of_worship,Redinha,2,Norte,7.170319431390413,0.27892760136240896
171,amenity_place_of_worship,Ribeira,2,Leste,0.7701308835145091,2.5969611696039983
172,amenity_place_of_worship,Rocas,0,Leste,0.5386164473659117,0.0
173,amenity_place_of_worship,Santos Reis,1,Leste,1.8120202788320696,0.5518702034861034
174,amenity_place_of_worship,Tirol,4,Leste,2.9377194954885093,1.3616003863346544
175,amenity_police,Alecrim,1,Leste,2.8126630564480646,0.3555349431946666
176,amenity_police,Areia Preta,0,Leste,0.2624931585903798,0.0
177,amenity_police,Barro Vermelho,0,Leste,0.773459952408173,0.0
178,amenity_police,Bom Pastor,0,Oeste,2.8237542657802215,0.0
179,amenity_police,Candelária,2,Sul,6.213090490268191,0.32190099325491545
180,amenity_police,Capim Macio,1,Sul,3.536322749587128,0.2827796190595872
181,amenity_police,Cidade Alta,0,Leste,0.9498325820890022,0.0
182,amenity_police,Cidade Nova,0,Oeste,2.138739680894446,0.0
183,amenity_police,Cidade da Esperança,3,Oeste,1.4921251057655043,2.0105552734205294
184,amenity_police,Dix-Sept Rosado,0,Oeste,0.8945426611849765,0.0
185,amenity_police,Felipe Camarão,0,Oeste,5.422818204774316,0.0
186,amenity_police,Guarapes,0,Oeste,6.981796408221646,0.0
187,amenity_police,Igapó,0,Norte,1.7961583449065368,0.0
188,amenity_police,Lagoa Azul,0,Norte,9.523752054212096,0.0
189,amenity_police,Lagoa Nova,5,Sul,6.264427860715066,0.7981574871913786
190,amenity_police,Lagoa Seca,1,Leste,0.49847829810883376,2.006105388727812
191,amenity_police,Mãe Luiza,0,Leste,0.7808093519276514,0.0
192,amenity_police,N. S. Apresentação,0,Norte,8.359996458807668,0.0
193,amenity_police,N. Sra. do Nazaré,0,Oeste,1.174982498465845,0.0
194,amenity_police,Neópolis,3,Sul,2.6287055158952892,1.1412461311697193
195,amenity_police,Nova Descoberta,1,Sul,1.2959380067857247,0.7716418491963742
196,amenity_police,Pajuçara,0,Norte,6.250138148913146,0.0
197,amenity_police,Parque das Dunas,2,Sul,9.824446055169469,0.20357381869358745
198,amenity_police,Petropólis,0,Leste,0.6399234277218987,0.0
199,amenity_police,Pitimbu,2,Sul,6.075760421672488,0.3291769031685182
200,amenity_police,Planalto,0,Oeste,3.7847053271180475,0.0
201,amenity_police,Ponta Negra,3,Sul,11.27862552667373,0.2659898577982803
202,amenity_police,Potengi,0,Norte,6.52548282021391,0.0
203,amenity_police,Praia do Meio,1,Leste,0.39912132497084085,2.505503809081257
204,amenity_police,Quintas,1,Oeste,2.027817307910962,0.4931410714854735
205,amenity_police,Redinha,0,Norte,7.170319431390413,0.0
206,amenity_police,Ribeira,1,Leste,0.7701308835145091,1.2984805848019991
207,amenity_police,Rocas,1,Leste,0.5386164473659117,1.8566087331541234
208,amenity_police,Santos Reis,0,Leste,1.8120202788320696,0.0
209,amenity_police,Tirol,2,Leste,2.9377194954885093,0.6808001931673272
210,amenity_restaurant,Alecrim,2,Leste,2.8126630564480646,0.7110698863893332
