re_type,adv_bed,adv_bath,adv_park,pool,balcony,leisure,secondfloor,adv_size,district,adv_sale
house,1.0,1.0,1.0,False,False,False,False,40.0,Ponta Negra,350000
house,3.0,2.0,2.0,True,False,True,False,180.0,Neopolis,330000
house,3.0,3.0,2.0,True,False,True,False,360.0,Candelaria,400000
house,3.0,1.0,1.0,False,False,False,False,100.0,Cidade Alta,150000
house,4.0,2.0,2.0,False,True,True,False,210.0,Capim Macio,420000
house,3.0,2.0,1.0,False,False,True,False,250.0,Lagoa Nova,400000
house,3.0,5.0,4.0,True,False,True,False,274.0,Capim Macio,450000
house,3.0,5.0,4.0,True,True,True,False,320.0,Ponta Negra,1800000
house,3.0,2.0,5.0,False,False,True,False,470.0,Lagoa Nova,360000
house,3.0,6.0,5.0,False,True,True,False,270.0,Neopolis,500000
house,3.0,4.0,4.0,True,True,True,False,219.0,Capim Macio,600000
house,3.0,4.0,4.0,False,False,False,False,227.0,Lagoa Nova,500000
house,3.0,4.0,2.0,False,False,True,False,162.0,Barro Vermelho,400000
house,3.0,1.0,1.0,False,False,False,False,240.0,Candelaria,270000
house,4.0,4.0,4.0,False,False,False,False,300.0,Lagoa Nova,650000
house,5.0,4.0,5.0,True,False,True,False,265.0,Lagoa Nova,450000
house,4.0,6.0,6.0,True,False,True,False,235.0,Lagoa Nova,530000
house,3.0,3.0,4.0,True,False,True,False,230.0,San Vale,550000
house,5.0,6.0,10.0,False,False,False,False,275.0,Lagoa Nova,1050000
house,4.0,4.0,3.0,False,True,True,False,180.0,Candelaria,300000
house,3.0,3.0,2.0,False,False,True,False,160.0,Alecrim,500000
house,3.0,4.0,4.0,True,True,True,False,255.0,Ponta Negra,490000
house,3.0,1.0,4.0,False,False,True,False,100.0,Candelaria,220000
house,4.0,5.0,4.0,False,True,True,False,263.0,Capim Macio,590000
house,3.0,5.0,3.0,False,True,True,False,257.0,Capim Macio,599000
house,4.0,3.0,1.0,False,False,False,False,275.0,Petropolis,600000
house,5.0,6.0,1.0,False,False,False,False,321.0,Neopolis,500000
house,4.0,5.0,3.0,False,False,True,False,237.0,Capim Macio,590000
house,2.0,2.0,1.0,False,False,False,False,58.0,PARNAMIRIM,99980
house,3.0,2.0,2.0,False,True,True,False,150.0,Cidade Alta,320000
house,4.0,5.0,3.0,True,False,True,False,442.0,Ponta Negra,1700000
house,4.0,4.0,4.0,False,False,True,False,430.0,Pitimbu,400000
house,4.0,6.0,2.0,True,True,True,False,370.0,Candelaria,1150000
house,3.0,2.0,2.0,False,False,False,False,160.0,de Nazare,370000
house,3.0,3.0,1.0,False,False,False,False,180.0,Tirol,343000
house,3.0,4.0,2.0,True,False,True,False,200.0,Ponta Negra,390000
house,4.0,4.0,4.0,False,False,True,False,287.0,Lagoa Nova,450000
house,4.0,2.0,6.0,False,False,True,False,238.0,Ponta Negra,350000
house,3.0,2.0,3.0,False,False,True,False,168.0,Nossa Senhora da Apresentacao,220000
house,4.0,5.0,4.0,True,False,True,False,300.0,Capim Macio,615000
house,3.0,1.0,3.0,True,False,True,False,170.0,Nova Descoberta,450000
house,3.0,3.0,6.0,False,False,True,False,180.0,Ponta Negra,425000
house,2.0,1.0,2.0,False,True,False,False,116.0,sept Rosado,200000
house,3.0,4.0,4.0,False,False,False,False,300.0,Lagoa Nova,420000
house,3.0,4.0,8.0,True,True,True,False,160.0,Redinha,290000
house,1.0,1.0,4.0,False,False,False,False,60.0,Ponta Negra,280000
house,2.0,1.0,1.0,False,False,True,False,75.0,Planalto,100000
house,3.0,3.0,2.0,True,False,True,False,450.0,Capim Macio,680000
house,4.0,4.0,2.0,False,False,True,False,210.0,Ponta Negra,540000
house,3.0,3.0,2.0,True,False,True,False,205.0,Candelaria,450000
house,3.0,3.0,2.0,False,False,False,False,900.0,Lagoa Nova,2000000
house,3.0,3.0,4.0,False,False,True,False,150.0,Lagoa Nova,450000
house,3.0,3.0,3.0,False,False,False,False,250.0,Neopolis,280000
house,3.0,4.0,3.0,False,False,False,False,258.0,Pitimbu,350000
house,5.0,1.0,4.0,False,True,False,False,600.0,Redinha,500000
house,3.0,2.0,4.0,False,False,False,False,200.0,Candelaria,210000
house,3.0,2.0,2.0,False,False,False,False,120.0,Neopolis,280000
house,4.0,5.0,6.0,True,False,True,False,261.0,Nova Descoberta,550000
house,3.0,5.0,4.0,True,False,False,False,300.0,Ponta Negra,750000
house,5.0,5.0,4.0,False,False,False,False,390.0,Lagoa Nova,600000
house,3.0,2.0,3.0,False,False,False,False,150.0,Pitimbu,180000
house,3.0,4.0,2.0,False,True,True,False,315.0,Pitimbu,450000
house,4.0,3.0,2.0,False,False,True,False,240.0,Lagoa Nova,430000
