adv_address,adv_sale,adv_condofee,adv_bed,adv_bath,adv_park,adv_size,features,district,re_type
Rua Presbï¿½tero Porfï¿½rio Gomes da Silva - Capim Macio  Natal - RN,R$ 450000,NotFound,3,3,8,200, Perto de vias de acesso / Proximo a shopping / Jardim / Ar-condicionado / Quintal / Garagem / Lavanderia / Cozinha / Area de servico / Interfone / Vigia ,Capim Macio,house
Rua Milton Santos  14 - Lagoa Nova  Natal - RN,R$ 265000,NotFound,2,2,3,113, Perto de vias de acesso / Proximo a shopping / Proximo a transporte pï¿½blico / Proximo a escola / Proximo a hospitais / Quintal / Cabeamento estruturado / TV a cabo / Garagem / Cozinha / Area de servico / Interfone / Lavanderia ,Lagoa Nova,house
Rua Amapï¿½  733 - Neopolis  Natal - RN,R$ 200000,NotFound,3,2,2,NotFound, Area de servico / Cozinha / Proximo a escola ,Neopolis,house
Rua Neuza Farache - Capim Macio  Natal - RN,R$ 520000,NotFound,3,1,2,300, Churrasqueira / Jardim / Piscina / Quintal / Perto de vias de acesso / Proximo a shopping / Sistema de alarme / Interfone / Circuito de Seguranca / Vigia / Piscina para adulto / Ar-condicionado / Garagem / Cozinha / Area de servico ,Capim Macio,house
Rua Cabo Honï¿½rio - Ponta Negra  Natal - RN,R$ 244000,NotFound,4,4,4,150, Ar-condicionado / Cozinha / Varanda / TV a cabo / Quintal / Area de servico ,Ponta Negra,house
Rua Presidente Mascarenhas  s\n - Alecrim  Natal - RN,R$ 240000,NotFound,3,1,2,163, Proximo a hospitais / Perto de vias de acesso / Proximo a transporte pï¿½blico / Proximo a escola / Quintal / Ar-condicionado / Garagem / Area de servico / Cozinha / Cabeamento estruturado / Vista exterior ,Alecrim,house
Rua Doutor Mï¿½rio Negï¿½cio  1652 - Alecrim  Natal - RN,R$ 190000,NotFound,8,3,3,280, Perto de vias de acesso / Proximo a transporte pï¿½blico / Proximo a hospitais / Quintal / Depï¿½sito / Garagem / Cozinha / Area de servico ,Alecrim,house
Rua Anï¿½bal Correia  2519 - Lagoa Nova  Natal - RN,R$ 310000,NotFound,3,2,3,196, Perto de vias de acesso / Proximo a shopping / Proximo a transporte pï¿½blico / Proximo a escola / Proximo a hospitais / Ar-condicionado / Quintal / Depï¿½sito / Garagem / Lavanderia / Area de servico / Cozinha / Sistema de alarme / Circuito de Seguranca / Piscina ,Lagoa Nova,house
Rua Presbï¿½tero Porfï¿½rio Gomes da Silva - Capim Macio  Natal - RN,R$ 450000,NotFound,3,4,8,200, Perto de vias de acesso / Proximo a transporte pï¿½blico / Proximo a escola / Ar-condicionado / Quintal / Varanda / Garagem / Lavanderia / Cozinha / Area de servico / Interfone / Vigia / Jardim ,Capim Macio,house
Avenida Governador Josï¿½ Varela - Capim Macio  Natal - RN,R$ 440000,NotFound,4,3,3,358, Perto de vias de acesso / Proximo a shopping / Proximo a transporte pï¿½blico / Quintal / Garagem / Lavanderia / Cozinha / Area de servico / Interfone / Jardim ,Capim Macio,house
Rua Ponta da Gamboa  8840 - Ponta Negra  Natal - RN,R$ 380000,NotFound,3,2,3,200, Cozinha / Varanda ,Ponta Negra,house
Avenida Governador Tarcï¿½sio de Vasconcelos Maia  009 - Candelï¿½ria  Natal - RN,R$ 900000,NotFound,4,8,5,539, Perto de vias de acesso / Proximo a shopping / Proximo a transporte pï¿½blico / Proximo a escola / Ar-condicionado / Quintal / Varanda / Depï¿½sito / Garagem / Cozinha / Area de servico / Churrasqueira / Jardim / Espaco gourmet / Piscina / Sistema de alarme / Interfone ,Candelaria,house
Rua Verde Vale - Planalto  Natal - RN,R$ 153000,NotFound,2,2,1,60, Perto de vias de acesso / Proximo a transporte pï¿½blico / Proximo a escola ,Planalto,house
Rua Praia de Alagamar  100 - Ponta Negra  Natal - RN,R$ 600000,NotFound,3,1,4,800, Churrasqueira / Jardim / Piscina / Ar-condicionado / Quintal / Depï¿½sito / Mobiliado / Perto de vias de acesso / Proximo a shopping ,Ponta Negra,house
Rua Sï¿½o Joï¿½o - Lagoa Seca  Natal - RN,R$ 450000,NotFound,4,4,2,200, Perto de vias de acesso / Proximo a shopping / Proximo a transporte pï¿½blico / Proximo a escola / Proximo a hospitais / Quintal / Varanda / Garagem / Cozinha / Area de servico / Interfone / Vigia ,Lagoa Seca,house
Rua Carlos Lamas - Candelï¿½ria  Natal - RN,R$ 650000,NotFound,6,7,8,372, Perto de vias de acesso / Proximo a shopping / Proximo a escola / Proximo a hospitais / Ar-condicionado / Quintal / Varanda / Depï¿½sito / Mobiliado / Cabeamento estruturado / TV a cabo / Conexï¿½o ï¿½ internet / Garagem / Lavanderia / Cozinha / Area de servico / Vista exterior / Churrasqueira / Jardim / Espaco gourmet / Academia / Salao de festas / Playground / Piscina / Espaco verde / Parque / Piscina para adulto / Piscina infantil / Salao de jogos / Sistema de alarme / Interfone / Circuito de Seguranca / Vigia ,Candelaria,house
Planalto  Natal - RN,R$ 150000,NotFound,2,2,2,76, Perto de vias de acesso / Proximo a transporte pï¿½blico / Proximo a escola / Proximo a shopping / Proximo a hospitais / Quintal / Varanda / Garagem / Cozinha / Area de servico / Lavanderia / Churrasqueira / Espaco gourmet / Jardim / Serviï¿½os pï¿½blicos essenciais ,Planalto,house
Rua Abraham Tahim - Capim Macio  Natal - RN,R$ 480000,NotFound,3,3,3,152, Cozinha / Interfone / Lavanderia / Varanda / TV a cabo / Quintal / Area de servico ,Capim Macio,house
Avenida Esdras Cï¿½sar da Silva  2830 - Potengi  Natal - RN,R$ 240000,NotFound,3,2,1,110, Quintal / Garagem / Cozinha / Area de servico / Perto de vias de acesso / Interfone / Proximo a shopping / Proximo a escola / Proximo a hospitais / Proximo a transporte pï¿½blico ,Potengi,house
Rua Presbï¿½tero Porfï¿½rio Gomes da Silva  1820 - Capim Macio  Natal - RN,R$ 449000,NotFound,3,4,8,200, Perto de vias de acesso / Jardim / Garagem / Lavanderia / Cozinha / Area de servico / Interfone / Vigia / Proximo a shopping / Ar-condicionado ,Capim Macio,house
Rua dos Potiguares - Candelï¿½ria  Natal - RN,R$ 320000,NotFound,5,3,4,204, Perto de vias de acesso / Proximo a shopping / Proximo a transporte pï¿½blico / Proximo a escola / Proximo a hospitais / Ar-condicionado / Quintal / Jardim / Mobiliado / Cabeamento estruturado / TV a cabo / Conexï¿½o ï¿½ internet / Garagem / Cozinha / Area de servico / Vista exterior / Vigia / Interfone ,Candelaria,house
Rua Joï¿½o Olï¿½mpio  184 - Petropolis  Natal - RN,R$ 250000,NotFound,3,1,1,110, Cozinha / Quintal / Area de servico ,Petropolis,house
Neopolis  Natal - RN,R$ 330000,NotFound,3,2,NotFound,210,NotFound,Neopolis,house
Lagoa Nova  Natal - RN,R$ 370000,NotFound,3,2,2,155, Cozinha / Garagem ,Lagoa Nova,house
